名称	组	配置文件	已启用	操作	替代	程序	本地地址	远程地址	协议	本地端口	远程端口	授权的用户	授权的计算机	授权的本地主体	本地用户所有者	应用程序包	
TxGaDcc		所有	是	允许	否	D:\TxGameAssistant\UI\TxGaDcc.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
TxGaDcc		所有	是	允许	否	D:\TxGameAssistant\UI\TxGaDcc.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
Unbound		公用	是	允许	否	D:\SSTap-beta\unbound\unbound.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Unbound		公用	是	允许	否	D:\SSTap-beta\unbound\unbound.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
VMware Authd Service		域	是	允许	否	D:\VMware\vmware-authd.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
VMware Authd Service (专用)		专用	是	允许	否	D:\VMware\vmware-authd.exe	任何	本地子网	任何	任何	任何	任何	任何	任何	任何	任何	
VMware Workstation Server		域	是	允许	否	D:\VMware\vmware-hostd.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
VMware Workstation Server (专用)		专用	是	允许	否	D:\VMware\vmware-hostd.exe	任何	本地子网	任何	任何	任何	任何	任何	任何	任何	任何	
Wallpaper Engine		所有	是	允许	否	D:\Steam\steamapps\common\wallpaper_engine\launcher.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Wallpaper Engine		所有	是	允许	否	D:\Steam\steamapps\common\wallpaper_engine\launcher.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
WeChat		所有	是	允许	否	D:\WeChat\WeChat.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
XLBugReport1.1.2.266		公用	是	允许	否	C:\Program Files (x86)\Common Files\Thunder Network\TP\Ver1\1.1.2.266_1111\XLBugReport.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
XLBugReport1.1.2.266		公用	是	允许	否	C:\Program Files (x86)\Common Files\Thunder Network\TP\Ver1\1.1.2.266_1111\XLBugReport.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯QQ		公用	是	允许	否	D:\腾讯\tencent\qq\bin\setupex\qqsetupex.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯QQ		所有	是	允许	否	D:\腾讯\Tencent\QQ\Bin\QQ.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
腾讯QQ		公用	是	允许	否	D:\腾讯\tencent\qq\bin\setupex\qqsetupex.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯产品下载组件		所有	是	允许	否	C:\program files (x86)\common files\tencent\qqdownload\135\tencentdl.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
腾讯产品下载组件		所有	是	允许	否	C:\program files (x86)\common files\tencent\qqdownload\135\tencentdl.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
腾讯视频客户端		公用	是	允许	否	D:\腾讯\Tencent\QQLive\QQLive.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯视频客户端		公用	是	允许	否	D:\腾讯\Tencent\QQLive\QQLive.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯视频客户端 附属		公用	是	允许	否	D:\腾讯\Tencent\QQLive\Statistics.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯视频客户端 附属		公用	是	允许	否	D:\腾讯\Tencent\QQLive\QQLiveService.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯视频客户端 附属		公用	是	允许	否	D:\腾讯\Tencent\QQLive\QQLiveService.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯视频客户端 附属		公用	是	允许	否	D:\腾讯\Tencent\QQLive\Statistics.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯视频客户端 升级		公用	是	允许	否	D:\腾讯\Tencent\QQLive\QQLiveUp.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯视频客户端 升级		公用	是	允许	否	D:\腾讯\Tencent\QQLive\QQLiveUp.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯手游助手下载器组件		公用	是	允许	否	C:\Users\74330\AppData\Roaming\Tencent\TxGameAssistant\GameDownload\TenioDL.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯手游助手下载器组件		公用	是	允许	否	C:\Users\74330\AppData\Roaming\Tencent\TxGameAssistant\GameDownload\TenioDL.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯手游助手下载器组件		专用	是	允许	否	C:\Users\74330\AppData\Roaming\Tencent\TxGameAssistant\GameDownload\TenioDL.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯手游助手下载器组件		专用	是	允许	否	C:\Users\74330\AppData\Roaming\Tencent\TxGameAssistant\GameDownload\TenioDL.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯手游助手下载器组件		域	是	允许	否	C:\Users\74330\AppData\Roaming\Tencent\TxGameAssistant\GameDownload\TenioDL.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯手游助手下载器组件		域	是	允许	否	C:\Users\74330\AppData\Roaming\Tencent\TxGameAssistant\GameDownload\TenioDL.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯网页服务器组件		公用	是	允许	否	C:\Program Files (x86)\Tencent\QQMicroGameBoxService\1.0.5.2\QQMGBWebserver.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯网页服务器组件		公用	是	允许	否	C:\Program Files (x86)\Tencent\QQMicroGameBoxService\1.0.5.2\QQMGBWebserver.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏Cross		公用	是	允许	否	G:\WeGame\英雄联盟\Cross\CrossProxy.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏Cross		公用	是	允许	否	G:\WeGame\英雄联盟\Cross\CrossProxy.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏Cross		专用	是	允许	否	G:\WeGame\英雄联盟\Cross\CrossProxy.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏Cross		专用	是	允许	否	G:\WeGame\英雄联盟\Cross\CrossProxy.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏登录程序		公用	是	允许	否	G:\wegame\英雄联盟\tcls\client.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏登录程序		公用	是	允许	否	G:\wegame\英雄联盟\tcls\client.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏微端服务更新组件		公用	是	允许	否	C:\Program Files (x86)\Tencent\QQMicroGameBoxService\1.0.5.2\QQMicroGameBoxServiceUpdate.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏微端服务更新组件		公用	是	允许	否	C:\Program Files (x86)\Tencent\QQMicroGameBoxService\1.0.5.2\QQMicroGameBoxServiceUpdate.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏微端服务组件		公用	是	允许	否	C:\Program Files (x86)\Tencent\QQMicroGameBoxService\1.0.5.2\QQMicroGameBoxService.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏微端服务组件		公用	是	允许	否	C:\Program Files (x86)\Tencent\QQMicroGameBoxService\1.0.5.2\QQMicroGameBoxService.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏云加速下载引擎（旋风Inside）		公用	是	允许	否	G:\hlddz\teniodl\teniodl.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
腾讯游戏云加速下载引擎（旋风Inside）		公用	是	允许	否	G:\hlddz\teniodl\teniodl.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
优酷土豆视频加速器		公用	是	允许	否	D:\youku\youkuclient\ikuacc.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
优酷土豆视频加速器		公用	是	允许	否	D:\youku\youkuclient\ikuacc.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
游戏时刻录游器		专用	是	允许	否	G:\WeGame\英雄联盟\Cross\Apps\LCULQT\GamePlus\Bin\VideoEditor.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
游戏时刻录游器		专用	是	允许	否	G:\WeGame\英雄联盟\Cross\Apps\LCULQT\GamePlus\Bin\VideoEditor.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
游戏时刻录游器		公用	是	允许	否	G:\WeGame\英雄联盟\Cross\Apps\LCULQT\GamePlus\Bin\VideoEditor.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
游戏时刻录游器		公用	是	允许	否	G:\WeGame\英雄联盟\Cross\Apps\LCULQT\GamePlus\Bin\VideoEditor.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
